file1	file2	avg	std
dnase_wt_l2_rep2_50U_ml.read1.fastq.gz	dnase_wt_l2_rep2_50U_ml.read2.fastq.gz	123	53
dnase_wt_l2_rep2_100U_ml.read1.fastq.gz	dnase_wt_l2_rep2_100U_ml.read2.fastq.gz	121	47
dnase_wt_l2_rep2_200U_ml.read1.fastq.gz	dnase_wt_l2_rep2_200U_ml.read2.fastq.gz	114	44
dnase_wt_l2_rep2_400U_ml.read1.fastq.gz	dnase_wt_l2_rep2_400U_ml.read2.fastq.gz	104	37
dnase_wt_l2_rep2_800U_ml.read1.fastq.gz	dnase_wt_l2_rep2_800U_ml.read2.fastq.gz	97	33
dnase_wt_l3_rep1_2.5U_ml.read1.fastq.gz	dnase_wt_l3_rep1_2.5U_ml.read2.fastq.gz	149	35
dnase_wt_l3_rep1_10U_ml.read1.fastq.gz	dnase_wt_l3_rep1_10U_ml.read2.fastq.gz	137	33
dnase_wt_l3_rep1_25U_ml.read1.fastq.gz	dnase_wt_l3_rep1_25U_ml.read2.fastq.gz	147	32
dnase_wt_l3_rep1_50U_ml.read1.fastq.gz	dnase_wt_l3_rep1_50U_ml.read2.fastq.gz	148	32
dnase_wt_l3_rep1_100U_ml.read1.fastq.gz	dnase_wt_l3_rep1_100U_ml.read2.fastq.gz	153	31
dnase_wt_l3_rep1_200U_ml.read1.fastq.gz	dnase_wt_l3_rep1_200U_ml.read2.fastq.gz	152	32
dnase_wt_l3_rep1_400U_ml.read1.fastq.gz	dnase_wt_l3_rep1_400U_ml.read2.fastq.gz	153	32
dnase_wt_l3_rep1_800U_ml.read1.fastq.gz	dnase_wt_l3_rep1_800U_ml.read2.fastq.gz	127	22
dnase_wt_l3_rep2_2.5U_ml.read1.fastq.gz	dnase_wt_l3_rep2_2.5U_ml.read2.fastq.gz	140	34
dnase_wt_l3_rep2_5U_ml.read1.fastq.gz	dnase_wt_l3_rep2_5U_ml.read2.fastq.gz	149	33
dnase_wt_l3_rep2_10U_ml.read1.fastq.gz	dnase_wt_l3_rep2_10U_ml.read2.fastq.gz	150	37
dnase_wt_l3_rep2_25U_ml.read1.fastq.gz	dnase_wt_l3_rep2_25U_ml.read2.fastq.gz	147	36
dnase_wt_l3_rep2_50U_ml.read1.fastq.gz	dnase_wt_l3_rep2_50U_ml.read2.fastq.gz	130	37
dnase_wt_l3_rep2_100U_ml.read1.fastq.gz	dnase_wt_l3_rep2_100U_ml.read2.fastq.gz	124	35
dnase_wt_l3_rep2_200U_ml.read1.fastq.gz	dnase_wt_l3_rep2_200U_ml.read2.fastq.gz	126	35
dnase_wt_l3_rep2_400U_ml.read1.fastq.gz	dnase_wt_l3_rep2_400U_ml.read2.fastq.gz	119	34
dnase_wt_l3_rep2_800U_ml.read1.fastq.gz	dnase_wt_l3_rep2_800U_ml.read2.fastq.gz	118	33
dnase_wt_l4_rep1_2.5U_ml.read1.fastq.gz	dnase_wt_l4_rep1_2.5U_ml.read2.fastq.gz	115	44
dnase_wt_l4_rep1_5U_ml.read1.fastq.gz	dnase_wt_l4_rep1_5U_ml.read2.fastq.gz	115	46
dnase_wt_l4_rep1_10U_ml.read1.fastq.gz	dnase_wt_l4_rep1_10U_ml.read2.fastq.gz	115	45
dnase_wt_l4_rep1_25U_ml.read1.fastq.gz	dnase_wt_l4_rep1_25U_ml.read2.fastq.gz	110	44
dnase_wt_l4_rep1_50U_ml.read1.fastq.gz	dnase_wt_l4_rep1_50U_ml.read2.fastq.gz	108	42
dnase_wt_l4_rep1_100U_ml.read1.fastq.gz	dnase_wt_l4_rep1_100U_ml.read2.fastq.gz	117	44
dnase_wt_l4_rep1_200U_ml.read1.fastq.gz	dnase_wt_l4_rep1_200U_ml.read2.fastq.gz	115	39
dnase_wt_l4_rep1_400U_ml.read1.fastq.gz	dnase_wt_l4_rep1_400U_ml.read2.fastq.gz	102	30
dnase_wt_l4_rep1_800U_ml.read1.fastq.gz	dnase_wt_l4_rep1_800U_ml.read2.fastq.gz	94	28
dnase_wt_l4_rep2_2.5U_ml.read1.fastq.gz	dnase_wt_l4_rep2_2.5U_ml.read2.fastq.gz	125	52
dnase_wt_l4_rep2_5U_ml.read1.fastq.gz	dnase_wt_l4_rep2_5U_ml.read2.fastq.gz	118	50
dnase_wt_l4_rep2_10U_ml.read1.fastq.gz	dnase_wt_l4_rep2_10U_ml.read2.fastq.gz	118	49
dnase_wt_l4_rep2_25U_ml.read1.fastq.gz	dnase_wt_l4_rep2_25U_ml.read2.fastq.gz	115	52
dnase_wt_l4_rep2_50U_ml.read1.fastq.gz	dnase_wt_l4_rep2_50U_ml.read2.fastq.gz	124	59
dnase_wt_l4_rep2_100U_ml.read1.fastq.gz	dnase_wt_l4_rep2_100U_ml.read2.fastq.gz	120	50
dnase_wt_l4_rep2_200U_ml.read1.fastq.gz	dnase_wt_l4_rep2_200U_ml.read2.fastq.gz	123	49
dnase_wt_l4_rep2_400U_ml.read1.fastq.gz	dnase_wt_l4_rep2_400U_ml.read2.fastq.gz	111	39
dnase_wt_l4_rep2_800U_ml.read1.fastq.gz	dnase_wt_l4_rep2_800U_ml.read2.fastq.gz	106	33
dnase_wt_ya_rep1_2.5U_ml.read1.fastq.gz	dnase_wt_ya_rep1_2.5U_ml.read2.fastq.gz	151	37
dnase_wt_ya_rep1_10U_ml.read1.fastq.gz	dnase_wt_ya_rep1_10U_ml.read2.fastq.gz	152	32
dnase_wt_ya_rep1_25U_ml.read1.fastq.gz	dnase_wt_ya_rep1_25U_ml.read2.fastq.gz	155	38
dnase_wt_ya_rep1_50U_ml.read1.fastq.gz	dnase_wt_ya_rep1_50U_ml.read2.fastq.gz	156	37
dnase_wt_ya_rep1_100U_ml.read1.fastq.gz	dnase_wt_ya_rep1_100U_ml.read2.fastq.gz	155	31
dnase_wt_ya_rep1_200U_ml.read1.fastq.gz	dnase_wt_ya_rep1_200U_ml.read2.fastq.gz	150	33
dnase_wt_ya_rep1_400U_ml.read1.fastq.gz	dnase_wt_ya_rep1_400U_ml.read2.fastq.gz	133	34
dnase_wt_ya_rep1_800U_ml.read1.fastq.gz	dnase_wt_ya_rep1_800U_ml.read2.fastq.gz	126	33
dnase_wt_ya_rep2_2.5U_ml.read1.fastq.gz	dnase_wt_ya_rep2_2.5U_ml.read2.fastq.gz	139	55
dnase_wt_ya_rep2_5U_ml.read1.fastq.gz	dnase_wt_ya_rep2_5U_ml.read2.fastq.gz	136	54
dnase_wt_ya_rep2_10U_ml.read1.fastq.gz	dnase_wt_ya_rep2_10U_ml.read2.fastq.gz	146	58
dnase_wt_ya_rep2_25U_ml.read1.fastq.gz	dnase_wt_ya_rep2_25U_ml.read2.fastq.gz	136	57
dnase_wt_ya_rep2_50U_ml.read1.fastq.gz	dnase_wt_ya_rep2_50U_ml.read2.fastq.gz	128	55
dnase_wt_ya_rep2_100U_ml.read1.fastq.gz	dnase_wt_ya_rep2_100U_ml.read2.fastq.gz	123	53
dnase_wt_ya_rep2_200U_ml.read1.fastq.gz	dnase_wt_ya_rep2_200U_ml.read2.fastq.gz	129	52
dnase_wt_ya_rep2_400U_ml.read1.fastq.gz	dnase_wt_ya_rep2_400U_ml.read2.fastq.gz	115	44
dnase_wt_ya_rep2_800U_ml.read1.fastq.gz	dnase_wt_ya_rep2_800U_ml.read2.fastq.gz	108	38
mnase_wt_emb_rep1_0.1U_ml.read1.fastq.gz	mnase_wt_emb_rep1_0.1U_ml.read2.fastq.gz	112	28
mnase_wt_emb_rep1_0.25U_ml.read1.fastq.gz	mnase_wt_emb_rep1_0.25U_ml.read2.fastq.gz	110	26
mnase_wt_emb_rep1_0.5U_ml.read1.fastq.gz	mnase_wt_emb_rep1_0.5U_ml.read2.fastq.gz	116	29
mnase_wt_emb_rep1_1U_ml.read1.fastq.gz	mnase_wt_emb_rep1_1U_ml.read2.fastq.gz	124	27
mnase_wt_emb_rep1_4U_ml.read1.fastq.gz	mnase_wt_emb_rep1_4U_ml.read2.fastq.gz	140	20
mnase_wt_emb_rep1_16U_ml.read1.fastq.gz	mnase_wt_emb_rep1_16U_ml.read2.fastq.gz	130	22
mnase_wt_emb_rep2_0.025U_ml.read1.fastq.gz	mnase_wt_emb_rep2_0.025U_ml.read2.fastq.gz	99	25
mnase_wt_emb_rep2_0.05U_ml.read1.fastq.gz	mnase_wt_emb_rep2_0.05U_ml.read2.fastq.gz	106	23
mnase_wt_emb_rep2_0.1U_ml.read1.fastq.gz	mnase_wt_emb_rep2_0.1U_ml.read2.fastq.gz	107	23
mnase_wt_emb_rep2_0.25U_ml.read1.fastq.gz	mnase_wt_emb_rep2_0.25U_ml.read2.fastq.gz	115	22
mnase_wt_emb_rep2_0.5U_ml.read1.fastq.gz	mnase_wt_emb_rep2_0.5U_ml.read2.fastq.gz	112	21
mnase_wt_emb_rep2_1U_ml.read1.fastq.gz	mnase_wt_emb_rep2_1U_ml.read2.fastq.gz	106	22
mnase_wt_emb_rep2_4U_ml.read1.fastq.gz	mnase_wt_emb_rep2_4U_ml.read2.fastq.gz	121	19
mnase_wt_emb_rep2_8U_ml.read1.fastq.gz	mnase_wt_emb_rep2_8U_ml.read2.fastq.gz	128	23
mnase_wt_emb_rep2_16U_ml.read1.fastq.gz	mnase_wt_emb_rep2_16U_ml.read2.fastq.gz	107	19
