factor	dataset_name	dataset_id
LSY-2	LSY-2-eGFP-L2,LSY-2-eGFP-L2,LSY-2-eGFP-L4,LSY-2-eGFP-L4	ENCFF566RVG,ENCFF849WOA,ENCFF305MQH,ENCFF962FAK
M03D4.4	M03D4.4-eGFP-MxE	ENCFF065CQW
MADF-10	MADF-10-eGFP-YA	ENCFF004CRB
MADF-2	MADF-2-eGFP-LE	ENCFF683NOQ
MBF-1	MBF-1-eGFP-L2	ENCFF475NVM
MDL-1	MDL-1-eGFP-L1,MDL-1-eGFP-L2,MDL-1-eGFP-L4,MDL-1-eGFP-L4	ENCFF367GMC,ENCFF007GGT,ENCFF107DEZ,ENCFF313PNK
MEF-2	MEF-2-eGFP-L1	ENCFF900PIH
MLS-2	MLS-2-eGFP-MxE	ENCFF516HTT
MXL-1	MXL-1-eGFP-YA	ENCFF858QXL
NFYA-1	NFYA-1-eGFP-LE	ENCFF639WOB
NHR-102	NHR-102-eGFP-L4	ENCFF724XTS
NHR-10	NHR-10-eGFP-L2	ENCFF720NUR
NHR-11	NHR-11-eGFP-L2	ENCFF032COX
NHR-12	NHR-12-eGFP-L1	ENCFF812YGI
NHR-179	NHR-179-eGFP-YA	ENCFF366CRL
NHR-20	NHR-20-eGFP-L1	ENCFF658EFB
NHR-21	NHR-21-eGFP-L2	ENCFF523VOB
NHR-232	NHR-232-eGFP-LE	ENCFF183CZQ
NHR-237	NHR-237-eGFP-L4	ENCFF472MOX
NHR-23	NHR-23-eGFP-L3	ENCFF019QMH
NHR-25	NHR-25-eGFP-L3	ENCFF599NDW
NHR-47	NHR-47-eGFP-L1	ENCFF148UER
NHR-48	NHR-48-eGFP-L4	ENCFF278BIB
NHR-71	NHR-71-eGFP-L1	ENCFF215YVC
NHR-76	NHR-76-eGFP-L1,NHR-76-eGFP-MxE	ENCFF724HPA,ENCFF892JIO
NHR-80	NHR-80-eGFP-YA	ENCFF912GVM
NHR-84	NHR-84-eGFP-L1	ENCFF538STZ
NHR-85	NHR-85-eGFP-L1	ENCFF361WBB
NHR-90	NHR-90-eGFP-L1,NHR-90-eGFP-YA	ENCFF905UIN,ENCFF431DOZ
NPAX-4	NPAX-4-eGFP-LE	ENCFF733PXF
PAG-3	PAG-3-eGFP-L1	ENCFF817ZXK
PAX-1	PAX-1-eGFP-LE	ENCFF895NXQ
PEB-1	PEB-1-eGFP-L2	ENCFF388FNK
PHA-2	PHA-2-eGFP-LE	ENCFF260DLA
PHA-4	PHA-4-eGFP-L3,PHA-4-eGFP-YA	ENCFF752WSH,ENCFF047ADV
POP-1	POP-1-eGFP-EE	ENCFF984ZNV
PQM-1	PQM-1-eGFP-L1,PQM-1-eGFP-L4,PQM-1-eGFP-LE	ENCFF794NUQ,ENCFF333KAI,ENCFF085CTR
PROS-1	PROS-1-eGFP-LE	ENCFF007RPJ
R02D3.7	R02D3.7-eGFP-L3	ENCFF570MIK
RBR-2	RBR-2-eGFP-L4	ENCFF524TUO
REC-8	REC-8-eGFP-YA,REC-8-eGFP-YA	ENCFF650GAC,ENCFF721FFG
REF-2	REF-2-eGFP-LE	ENCFF538QBA
REPO-1	REPO-1-eGFP-YA	ENCFF204HGL
